交易,開盤,最高,最低,收盤,漲跌,漲跌,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),,,,,,,,,持股,,,,,比
,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
5月22日,18.95,18.95,18.7,18.7,-0.25,-1.32%,"5,296","2,001",2.6,0.99,"-2,008",0,-89,"-2,097",30.7,253,"35,824",7,540,1.5
5月21日,18.45,19,18.35,18.95,0.5,2.71%,"7,089","2,951",2.4,1.3,357,0,224,581,30.7,-86,"35,571",28,533,1.5
5月20日,18.4,18.7,18.3,18.45,0.2,1.10%,"4,281","1,747",2.5,0.79,-418,0,300,-118,30.7,-194,"35,657",-2,505,1.4
5月17日,18.8,18.85,18.25,18.25,-0.25,-1.35%,"7,633","2,783",2.7,1.4,"-1,696",0,29,"-1,667",30.7,-197,"35,851",34,507,1.4
5月16日,18.8,18.8,18.5,18.5,-0.25,-1.33%,"5,653","2,545",2.2,1.1,"-2,295",0,-152,"-2,447",30.8,199,"36,048",100,473,1.3
5月15日,18.7,19,18.7,18.75,0.05,0.27%,"7,002","2,998",2.3,1.3,"-1,636",0,-207,"-1,843",30.9,148,"35,849",15,373,1
5月14日,18.6,18.95,18.45,18.7,-0.15,-0.80%,"10,947","4,214",2.6,2.1,"-3,944",0,488,"-3,456",30.9,375,"35,701",173,358,1
5月13日,19.25,19.25,18.75,18.85,-0.55,-2.84%,"10,671","3,906",2.7,2,"-2,546",0,18,"-2,528",31,3,"35,326",38,185,0.5
5月10日,19.75,19.9,19.2,19.4,-0.2,-1.02%,"9,272","3,492",2.7,1.8,"-1,758",0,-125,"-1,883",31.1,-221,"35,323",13,147,0.4
5月9日,20.1,20.25,19.55,19.6,-0.75,-3.69%,"13,973","5,497",2.5,2.8,"-7,910",0,-537,"-8,447",31.2,593,"35,544",17,134,0.4
5月8日,20.2,20.35,20,20.35,0,0%,"5,468","2,085",2.6,1.1,565,0,52,617,31.4,-268,"34,951",24,117,0.3
5月7日,20.35,20.5,20.35,20.35,0.05,0.25%,"5,192","1,959",2.7,1.1,"-1,996",86,-20,"-1,930",31.4,238,"35,219",-13,93,0.3
5月6日,20.6,20.75,20.3,20.3,-0.7,-3.33%,"9,051","3,420",2.6,1.9,"-4,548",0,-83,"-4,631",31.5,-29,"34,981",-166,106,0.3
5月3日,20.85,21.1,20.85,21,0.2,0.96%,"3,753","1,686",2.2,0.79,236,0,-38,198,31.6,57,"35,010",-3,272,0.8
5月2日,20.9,21.1,20.8,20.8,-0.15,-0.72%,"4,540","2,211",2.1,0.95,"-1,482",0,-156,"-1,638",31.6,128,"34,953",-19,275,0.8
4月30日,20.9,21.1,20.85,20.95,0,0%,"5,781","1,620",3.6,1.2,-413,-4,-212,-629,31.7,282,"34,825",-17,294,0.8
4月29日,21.45,21.45,20.8,20.95,-0.35,-1.64%,"5,394","1,990",2.7,1.1,373,0,-588,-215,31.7,-674,"34,543",-49,311,0.9
4月26日,21.35,21.5,21.05,21.3,-0.05,-0.23%,"7,249","2,927",2.5,1.5,124,0,-415,-291,31.7,92,"35,217",-93,360,1
4月25日,21.25,21.5,21.25,21.35,0.1,0.47%,"3,394","1,543",2.2,0.72,748,0,162,910,31.7,-147,"35,125",11,453,1.3
4月24日,21.55,21.65,21.15,21.25,-0.25,-1.16%,"7,628","2,815",2.7,1.6,195,0,99,294,31.8,-547,"35,272",-22,442,1.3
4月23日,21.6,21.7,21.2,21.5,-0.05,-0.23%,"6,387","2,564",2.5,1.4,776,0,-61,715,31.8,-304,"35,819",-41,464,1.3
