證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","14,304,763","1,121,570,149","78.50","78.80","78.15","78.20","-0.05","6,896"
"0051","元大中型100","9,000","276,010","30.73","30.73","30.60","30.60","-0.13","8"
"0052","富邦科技","113,136","5,801,136","51.40","51.70","51.00","51.00","-0.95","15"
"0053","元大電子","8,000","264,500","33.26","33.26","32.80","32.91","-0.21","6"
"0054","元大台商50","4,000","83,850","21.00","21.00","20.91","20.91","-0.09","4"
"0055","元大MSCI金融","21,000","361,820","17.12","17.25","17.12","17.25","+0.13","12"
"0056","元大高股息","16,697,262","428,409,129","25.84","25.85","25.54","25.70"," 0.00","7,014"
"0057","富邦摩台","26,000","1,284,070","49.54","49.54","49.35","49.35","-0.22","4"
"0058","富邦發達","27,000","1,215,470","45.14","45.14","44.98","44.98","-0.10","5"
"0059","富邦金融","140,000","6,164,020","43.71","44.10","43.71","44.10","+0.44","10"
"0061","元大寶滬深","962,563","16,460,931","17.17","17.21","16.96","17.00","-0.26","295"
"006203","元大MSCI台灣","1,000","36,250","36.25","36.25","36.25","36.25","-0.17","1"
"006204","永豐臺灣加權","1,000","51,500","51.50","51.50","51.50","51.50","X0.00","1"
"006205","富邦上証","2,366,201","70,432,233","30.01","30.05","29.52","29.64","-0.49","340"
"006206","元大上證50","265,437","8,169,178","31.01","31.30","30.58","30.58","-0.61","124"
"006207","FH滬深","475,000","10,544,630","22.40","22.43","22.02","22.13","-0.39","102"
"006208","富邦台50","208,227","9,324,756","44.81","45.00","44.65","44.68"," 0.00","151"
"00625K","富邦上証+R","50,000","331,000","6.62","6.62","6.62","6.62","-0.09","2"
"00631L","元大台灣50正2","1,741,250","63,736,592","36.68","36.85","36.39","36.45","+0.03","661"
"00632R","元大台灣50反1","110,008,069","1,342,815,553","12.19","12.25","12.15","12.22"," 0.00","4,673"
"00633L","富邦上証正2","40,542,000","1,640,437,720","40.96","41.38","39.78","39.88","-1.08","7,214"
"00634R","富邦上証反1","8,382,017","56,120,951","6.66","6.75","6.60","6.73","+0.07","781"
"00635U","元大S&P黃金","542,999","10,248,448","18.90","18.90","18.85","18.87","-0.18","194"
"00636","國泰中國A50","2,496,795","50,857,559","20.49","20.57","20.19","20.23","-0.28","613"
"00636K","國泰中國A50+U","500","3,255","6.51","6.51","6.51","6.51","-0.09","1"
"00637L","元大滬深300正2","203,145,938","3,143,426,160","15.63","15.78","15.19","15.20","-0.43","21,577"
"00638R","元大滬深300反1","6,940,000","93,839,920","13.40","13.63","13.33","13.59","+0.18","1,090"
"00639","富邦深100","1,808,611","17,730,134","9.90","9.95","9.73","9.76","-0.20","282"
"00640L","富邦日本正2","470,000","8,702,450","18.48","18.58","18.47","18.54","+0.06","50"
"00641R","富邦日本反1","357,000","5,503,010","15.41","15.44","15.39","15.41","-0.02","49"
"00642U","元大S&P石油","836,216","15,849,876","18.92","19.00","18.92","18.93","+0.15","315"
"00643","群益深証中小","863,599","9,760,947","11.36","11.47","11.21","11.24","-0.27","274"
"00643K","群益深証中小+R","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"00645","富邦日本","67,617","1,353,120","20.00","20.04","20.00","20.03","+0.03","13"
"00646","元大S&P500","71,786","1,951,300","27.16","27.24","27.14","27.23","+0.07","37"
"00647L","元大S&P500正2","7,000","242,810","34.78","34.78","34.59","34.71","+0.18","6"
"00648R","元大S&P500反1","460,000","5,824,800","12.65","12.68","12.63","12.68","-0.01","171"
"00649","FH香港","46,000","972,870","21.17","21.17","21.09","21.12","-0.09","6"
"00650L","FH香港正2","90,000","2,701,620","29.90","30.39","29.80","29.86","-0.38","27"
"00651R","FH香港反1","739,000","6,193,340","8.36","8.41","8.34","8.40","+0.04","59"
"00652","富邦印度","183,304","4,451,160","23.90","24.51","23.90","24.51","+1.11","114"
"00653L","富邦印度正2","896,200","27,567,140","29.89","31.20","29.89","30.90","+1.87","323"
